ts,user_id,trust_score,network_score,app_score,resource,action,reason,via_ziti
2025-09-06T08:41:37.725679,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:37.839590,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:37.955380,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.081474,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.197482,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.311322,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.435639,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.548722,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.684452,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.822167,alice,100,100,100,/finance/report,allow,high_trust_both_layers,True
2025-09-06T08:41:38.831590,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:38.946263,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.074436,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.188007,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.300567,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.425487,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.538758,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.665779,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.778913,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:39.907758,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T08:41:40.571440,alice,72,100,60,/admin/panel,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:06.442877,alice,82,100,75,/,allow,high_trust_both_layers,True
2025-09-06T18:06:06.676946,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:06.901743,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:07.182416,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:07.406703,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:07.629013,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:07.900471,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:08.119112,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:08.345715,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:08.573399,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:08.798085,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:09.025787,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:09.246138,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:09.468568,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:09.688346,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:09.903058,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:10.130758,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:10.350799,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:10.633441,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:10.913055,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:11.126280,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:11.333534,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:11.589782,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:11.802114,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:12.020672,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:12.250584,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:12.470059,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:12.691649,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:12.963205,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:13.179984,alice,100,100,100,/,allow,high_trust_both_layers,True
2025-09-06T18:06:13.450172,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:13.672669,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:13.896394,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:14.113293,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:14.326300,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:14.616799,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:14.888605,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:15.148555,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:15.355270,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:15.577395,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:15.792938,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:16.062564,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:16.275157,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:16.551994,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:16.780636,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:16.998827,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:17.213983,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:17.479353,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:17.747221,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:18.014732,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:18.283649,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:18.535585,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:18.761113,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:19.026842,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:19.243986,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:19.460967,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:19.676640,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:19.886459,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:20.098255,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
2025-09-06T18:06:20.310925,alice,79,100,70,/,allow_restricted,mid_risk_readonly,True
